ch,pyn,py,en
招,zhao1,zhāo,"provoke / to recruit
to recruit / to provoke / to beckon / to incur / to infect / contagious / a move (chess) / a maneuver / device / trick / to confess"
婚,hun1,hūn,"to marry / marriage / wedding / to take a wife
to marry / marriage / wedding / to take a wife"
脱,tuo1,tuō,"to shed / to take off / to escape / to get away from
to shed / to take off / to escape / to get away from"
补,bu3,bǔ,"to repair / to patch / to mend / to make up for / to fill (a vacancy) / to supplement
to repair / to patch / to mend / to make up for / to fill (a vacancy) / to supplement"
谓,wei4,wèi,"speak of
to speak / to say / to name / to designate / meaning / sense"
督,du1,dū,"supervise
to supervise and direct / army title (archaic)"
毒,du2,dú,"poison / narcotics
poison / to poison / poisonous / malicious / cruel / fierce / narcotics"
油,you2,yóu,"oil / sly
oil / fat / grease / petroleum / to apply tung oil, paint or varnish / oily / greasy / glib / cunning"
疗,liao2,liáo,"to treat / to cure
to treat / to cure / therapy"
旅,lu:3 / lv3,lv̌,"trip / travel
trip / travel / to travel / brigade (army)"
泽,ze2,zé,"beneficence / marsh
pool / pond / (of metals etc) luster / favor or beneficence / damp / moist"
材,cai2,cái,"material
material / timber / ability / aptitude / a capable individual / coffin (old)"
灭,mie4,miè,"extinguish
to extinguish or put out / to go out (of a fire etc) / to exterminate or wipe out / to drown"
逐,zhu2,zhú,"to pursue / to chase / individually / one by one
to pursue / to chase / individually / one by one"
莫,mo4,mò,"do not / there is none who
do not / there is none who"
笔,bi3,bǐ,"pen / pencil / writing brush / to write or compose / the strokes of Chinese characters
pen / pencil / writing brush / to write or compose / the strokes of Chinese characters / classifier for sums of money, deals / CL:支[zhi1],枝[zhi1]"
亡,wang2,wáng,"to die / to perish
old variant of 亡[wang2]"
鲜,xian1 / xian3,xiān,"fresh, few / rare
old variant of 鮮|鲜[xian3]"
词,ci2,cí,"works / phrases / classical Chinese poem / word / diction
word / statement / speech / lyrics / CL:組|组[zu3],個|个[ge4] / classical Chinese poem / CL:首[shou3]"
圣,sheng4,shèng,"holy / sacred / saint / sage
holy / sacred / saint / sage"
择,ze2 / zhai2,zé,"to select / to choose / to pick, pick over
to select / to choose / to pick over / to pick out / to differentiate / to eliminate / also pr. [zhai2]"
寻,xun2,xún,"to search / to look for / to seek
to search / to look for / to seek"
厂,chang3,chǎng,"cliff / slope / factory / yard / depot / workhouse / works / (industrial) plant
factory / yard / depot / workhouse / works / (industrial) plant"
睡,shui4,shùi,"to sleep
to sleep / to lie down"
博,bo2,bó,"extensive / ample / rich / obtain / aim / to win / to get / rich / plentiful / to gamble
old variant of 博[bo2]"
勒,le4 / lei1,lè,"rein in, strangle
to strap tightly / to bind"
烟,yan1,yān,"cigarette / tobacco / smoke
cigarette or pipe tobacco / CL:根[gen1] / smoke / mist / vapour / CL:縷|缕[lu:3] / tobacco plant / (of the eyes) to be irritated by smoke"
授,shou4,shòu,"to teach / to instruct / to award / to give
to teach / to instruct / to award / to give"
诺,nuo4,nuò,"to promise / to yes
to consent / to promise / (literary) yes!"
伦,lun2,lún,"human relationship
human relationship / order / coherence"
岸,an4,àn,"bank / shore / beach / coast
bank / shore / beach / coast / CL:個|个[ge4]"
奥,ao4,ào,"obscure / mysterious
obscure / mysterious"
唐,tang2,táng,"Tang dynasty (618-907)
to exaggerate / empty / in vain / old variant of 螗[tang2]"
卖,mai4,mài,"to sell
to sell / to betray / to spare no effort / to show off or flaunt"
俄,e2,é,"suddenly / very soon / Russian
suddenly / very soon"
炸,zha2 / zha4,zhà,"fry, explode
to explode"
载,zai3 / zai4,zài,"year, to carry / to convey / to load / to hold / and / also / as well as / simultaneously
to carry / to convey / to load / to hold / to fill up / and / also / as well as / simultaneously"
洛,luo4,luò,"(surname) / name of a river
surname Luo / old name of several rivers (in Henan, Shaanxi, Sichuan and Anhui)"
健,jian4,jiàn,"healthy
healthy / to invigorate / to strengthen / to be good at / to be strong in"
堂,tang2,táng,"(main) hall / large room
(main) hall / large room for a specific purpose / CL:間|间[jian1] / relationship between cousins etc on the paternal side of a family / of the same clan / classifier for classes, lectures etc / classifier for sets of furniture"
旁,pang2,páng,"beside / one side / other / side / self
beside / one side / other / side / self / the right-hand side of split Chinese character, often the phonetic"
宫,gong1,gōng,"palace
palace / temple / castration (as corporal punishment) / first note in pentatonic scale"
喝,he1 / he4,hē,"my goodness / to drink, shout applause
to shout loudly"
借,jie4,jiè,"to lend / to borrow / excuse / pretext / by means of
variant of 借[jie4]"
君,jun1,jūn,"monarch / lord / gentleman / ruler
monarch / lord / gentleman / ruler"
禁,jin1 / jin4,jìn,"endure, to prohibit / to forbid
to prohibit / to forbid"
阴,yin1,yīn,"(of weather) overcast / Yin / feminine / moon / cloudy / negative (electric.) / shady
variant of 陰|阴[yin1]"
园,yuan2,yuán,"garden
land used for growing plants / site used for public recreation"
谋,mou2,móu,"to plan / seek / scheme
to plan / to seek / scheme"
宋,song4,sòng,"(surname) / name of a dynasty
surname Song / the Song dynasty (960-1279) / also Song of the Southern dynasties 南朝宋 (420-479)"
避,bi4,bì,"avoid / shun / flee / escape / leave / to keep away / to leave / to hide
to avoid / to shun / to flee / to escape / to keep away from / to leave / to hide from"
抓,zhua1,zhuā,"to grab / to catch / to arrest / to snatch
to grab / to catch / to arrest / to snatch / to scratch"
荣,rong2,róng,"glory / honored
glory / honor / thriving"
姑,gu1,gū,"paternal aunt
paternal aunt / husband's sister / husband's mother (old) / nun / for the time being (literary)"
孙,sun1,sūn,"grandson
grandson / descendant"
逃,tao2,táo,"to escape / to run away / to flee
to escape / to run away / to flee"
牙,ya2,yá,"tooth / ivory
tooth / ivory / CL:顆|颗[ke1]"
束,shu4,shù,"bunch / (a measure word) / to bind / to control
to bind / bunch / bundle / classifier for bunches, bundles, beams of light etc / to control"
跳,tiao4,tiào,"jump / hop / skip (a grade) / to leap / to bounce / to beat
to jump / to hop / to skip over / to bounce / to palpitate"
顶,ding3,dǐng,"go against / most / peak / top / to replace / to substitute / a measure word (use with ""hat"")
apex / crown of the head / top / roof / most / to carry on the head / to push to the top / to go against / to replace / to substitute / to be subjected to (an aerial bombing, hailstorm etc) / (slang) to ""bump"" a forum thread to raise its profile / classifier for headwear, hats, veils etc"
玉,yu4,yù,"jade
jade"
镇,zhen4,zhèn,"composed / small town / to suppress / to press down / to post
to press down / to calm / to subdue / to suppress / to guard / garrison / small town / to cool or chill (food or drinks)"
雪,xue3,xuě,"snow
snow / snowfall / CL:場|场[chang2] / to have the appearance of snow / to wipe away, off or out / to clean"
午,wu3,wǔ,"11 a.m.-1 p.m. / 7th earthly branch / noon
7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse / ancient Chinese compass point: 180° (south)"
练,lian4,liàn,"to practice / to train / to perfect (one's skill) / to drill
to practice / to train / to drill / to perfect (one's skill) / exercise"
迫,po4,pò,"to force / to compel / pressing / urgent
to force / to compel / to approach or go towards / urgent / pressing"
爷,ye2,yé,"grandpa / etc. / old gentleman
grandpa / old gentleman"
篇,pian1,piān,"sheet / piece of writing / (a measure word) / chapter / article
sheet / piece of writing / bound set of bamboo slips used for record keeping (old) / classifier for written items: chapter, article"
肉,rou4,ròu,"meat / flesh
meat / flesh / pulp (of a fruit) / (coll.) (of a fruit) squashy / (of a person) flabby / irresolute"
嘴,zui3,zǔi,"mouth
mouth / beak / nozzle / spout (of teapot etc) / CL:張|张[zhang1],個|个[ge4]"
馆,guan3,guǎn,"house / establishment
building / shop / term for certain service establishments / embassy or consulate / schoolroom (old) / CL:家[jia1]"
遍,bian4,biàn,"a time / everywhere / turn / all over / one time
everywhere / all over / classifier for actions: one time"
凡,fan2,fán,"ordinary / every / all / whatever / worldly
variant of 凡[fan2]"
础,chu3,chǔ,"foundation / base
foundation / base"
洞,dong4,dòng,"cave / hole
cave / hole / zero (unambiguous spoken form when spelling out numbers) / CL:個|个[ge4]"
卷,juan3 / juan4,juàn,"to roll (up) / to sweep up / to carry on, coil / to roll, chapter / examination paper
to roll (up) / to sweep up / to carry on / roll"
坦,tan3,tǎn,"flat / open-hearted / level / smooth
flat / open-hearted / level / smooth"
牛,niu2,níu,"ox / cow / bull
ox / cow / bull / CL:條|条[tiao2],頭|头[tou2] / (slang) awesome"
宁,ning2,níng,"peaceful / rather
variant of 寧|宁[ning2]"
纸,zhi3,zhǐ,"paper
paper / CL:張|张[zhang1],沓[da2] / classifier for documents, letter etc"
诸,zhu1,zhū,"(surname) / all / many / various
all / various"
训,xun4,xùn,"example / pattern / to teach / to train / instruction
to teach / to train / to admonish / instruction (from superiors) / teachings / rule"
私,si1,sī,"personal / private / selfish
personal / private / selfish"
庄,zhuang1,zhuāng,"farm / village
farmstead / village / manor / place of business / banker (in a gambling game) / grave or solemn / holdings of a landlord (in imperial China)"
祖,zu3,zǔ,"ancestor / forefather / grandparents
ancestor / forefather / grandparents"
丝,si1,sī,"silk / thread / trace
silk / thread / trace / CL:條|条[tiao2] / classifier: a thread (of cloud, smoke etc), a bit, an iota, a hint (of sth) etc"
翻,fan1,fān,"flit about / translate / turn over
variant of 翻[fan1]"
暴,bao4,bào,"sudden / violent / cruel / to show or expose / to injure
sudden / violent / cruel / to show or expose / to injure"
森,sen1,sēn,"forest
forest"
塔,ta3,tǎ,"pagoda / tower
old variant of 塔[ta3]"
默,mo4,mò,"silent / write from memory
silent / to write from memory"
握,wo4,wò,"shake hands / to hold / to grasp
to hold / to grasp / to clench (one's fist) / to master / classifier: a handful"
戏,xi4,xì,"trick / drama / play / show
trick / drama / play / show / CL:出[chu1],場|场[chang3],臺|台[tai2]"
隐,yin3,yǐn,"secret / hidden / concealed
to lean upon"
熟,shu2,shú,"familiar / skilled / ripe / done / ripe / cooked
cooked (of food) / ripe (of fruit) / mature (of seeds) / familiar / skilled / done / also pr. [shou2]"
骨,gu3,gǔ,"bone
bone"
访,fang3,fǎng,"inquire / seek / visit
to visit / to call on / to seek / to inquire / to investigate"
弱,ruo4,ruò,"weak / feeble / young / inferior
weak / feeble / young / inferior / (following a decimal or fraction) slightly less than"
蒙,meng1 / meng2 / meng3,méng,"deceive / cheat / hoodwink, drizzle / mist, dim sighted / ignorant, Mongolia / cover
to cover / ignorant / to suffer (misfortune) / to receive (a favor) / to cheat"
歌,ge1 / ge1ge,gē,"song
variant of 歌[ge1]"
店,dian4,diàn,"inn / shop / store
inn / shop / store / CL:家[jia1]"
鬼,gui3,gǔi,"ghost / sly / crafty
ghost / demon / terrible / damnable / clever / sly / crafty / sinister plot / (suffix for sb with a certain vice or addiction etc) / one of the 28 constellations"
软,ruan3,ruǎn,"soft / flexible
variant of 軟|软[ruan3]"
典,dian3,diǎn,"canon / dictionary
canon / law / standard work of scholarship / literary quotation or allusion / ceremony / to be in charge of / to mortgage or pawn"
欲,yu4,yù,"desire / wish, desire / longing / appetite / wish
to wish for / to desire / variant of 慾|欲[yu4]"
萨,sa4,sà,"(surname) / Bodhisattva
Bodhisattva / surname Sa"
伙,huo3,huǒ,"assistant / furniture / partner
companion / partner / group / classifier for groups of people / to combine / together"
遭,zao1,zāo,"a time / incident / meet by chance / turn
to meet by chance (usually with misfortune) / classifier for events: time, turn, incident"
盘,pan2,pán,"big / wooden tray, dish / tray / to build / to check / to examine / to transfer / (a measure word used for dishes of food or coils of wire) / to coil
plate / dish / tray / board / hard drive (computing) / to build / to coil / to check / to examine / to transfer (property) / to make over / classifier for food: dish, helping / to coil / classifier for coils of wire / classifier for games of chess"
爸,ba4,bà,"father / dad / pa / papa
father / dad / pa / papa"
扩,kuo4,kuò,"enlarge
enlarge"
盖,gai4 / ge3,gài,"lid / top / cover / canopy / to build, (surname)
lid / top / cover / canopy / to cover / to conceal / to build"
弄,long4 / nong4,nòng,"lane / alley, to do / to manage / to handle / to play with / to fool with / to mess with / to fix / to toy with
variant of 弄[long4]"
雄,xiong2,xióng,"heroic / male
male / staminate / grand / imposing / powerful / mighty / person or state having great power and influence"
